group_id,item_ids,domain,copies,mean_pair_correlation,mean_exact_agreement,mean_absolute_difference,text
1,"I001, I009",원칙중시,2,0.6555188195924478,0.8333333333333334,0.16666666666666666,나는 규정이나 절차가 불편해도 지키는 편이다.
2,"I002, I010",원칙중시,2,0.5125476871475512,0.7884615384615384,0.24358974358974358,작은 이익을 위해 원칙을 훼손하지 않는다.
3,"I003, I011, I267",원칙중시,3,0.7237008760421805,0.8717948717948718,0.13247863247863248,정보를 숨기기보다 관련자와 공유하려 한다.
4,"I004, I012",원칙중시,2,0.699272132750947,0.782051282051282,0.23076923076923078,모든 사람을 같은 기준으로 대하려 노력한다.
5,"I005, I013",원칙중시,2,0.7447930444075849,0.8333333333333334,0.17307692307692307,상황이 급해도 규정을 반드시 지켜야 한다고 생각한다.
6,"I006, I014",원칙중시,2,0.5688837965856212,0.7948717948717948,0.20512820512820512,성과를 내기 위해 사실을 과장하지 않고 정직하게 전달한다.
7,"I007, I015",원칙중시,2,0.6985262831065279,0.8205128205128205,0.19230769230769232,나에게 불리하더라도 기준은 항상 일관되어야 한다.
8,"I008, I016",원칙중시,2,0.791337520092242,0.8653846153846154,0.1346153846153846,문제가 생기면 지체 없이 즉시 보고한다.
17,"I033, I041",혁신성,2,0.7015425722151408,0.8397435897435898,0.16666666666666666,업무에 필요한 새로운 방법을 스스로 찾아 적용한다.
18,"I034, I042",혁신성,2,0.5698147192835404,0.8525641025641025,0.16025641025641027,작은 시범 운영으로 가설을 검증해 본다.
19,"I035, I043",혁신성,2,0.6322028283514136,0.8012820512820513,0.1987179487179487,변화가 불편해도 필요하면 기꺼이 수용한다.
20,"I036, I044",혁신성,2,0.44282217947218977,0.782051282051282,0.25,감(직관)이 아닌 데이터로 의사결정을 뒷받침한다.
21,"I037, I045",혁신성,2,0.7020879402186356,0.6474358974358975,0.3717948717948718,새로운 방식을 시도하면 괜히 일이 커지더라도 행동으로 옮긴다.
22,"I038, I046",혁신성,2,0.7549230142989636,0.8205128205128205,0.21153846153846154,기존 방식이 아닌 새로운 방식을 끊임없이 시도하는 것이 안전하다.
23,"I039, I047",혁신성,2,0.6425912157030558,0.7756410256410257,0.23717948717948717,근거보다 직관이 더 중요하다고 본다.
24,"I040, I048",혁신성,2,0.5917766806282267,0.782051282051282,0.23076923076923078,실패의 위험이 있어도 성장을 위해 변화를 시도한다.
32,"I056_R, I276",혁신성,2,0.7248157353749448,0.782051282051282,0.23717948717948717,실패가 생길 바엔 변화를 미루는 편이다.
33,"I065, I073",고객중심,2,0.6622406042025217,0.8269230769230769,0.19230769230769232,의사결정 전 타인 관점을 먼저 점검하려 한다.
34,"I066, I074",고객중심,2,0.6091813954918867,0.8269230769230769,0.1794871794871795,작은 결함도 발견되면 원인을 추적한다.
35,"I067, I075, I281",고객중심,3,0.5396298740087699,0.7756410256410257,0.24786324786324787,타인 약속 기한을 맞추기 위해 우선순위를 조정하려 한다.
36,"I068, I076",고객중심,2,0.7322813153084731,0.8717948717948718,0.1282051282051282,인수인계가 끝나도 문제 해결까지 책임을 진다.
37,"I069, I077",고객중심,2,0.6258809538203829,0.8205128205128205,0.1794871794871795,내 업무가 아니어도 타인의 업무에 도움을 주려고 노력한다.
38,"I070, I078",고객중심,2,0.7557609558892961,0.8397435897435898,0.16025641025641027,품질 기준을 이상적으로 설정하고 최대한 실현하려고 한다.
39,"I071, I079",고객중심,2,0.6168333456049923,0.6538461538461539,0.4166666666666667,정해진 절차가 우선이라 약속 기한은 유동적이다.
40,"I072, I080",고객중심,2,0.4756649625253583,0.8269230769230769,0.25,인수인계 후에도 발생하는 문제에 끝까지 책임을 회피하지 않는다.
49,"I097, I105",의사소통,2,0.7285540281886203,0.8717948717948718,0.1282051282051282,상대의 의도를 확인하며 질문을 이어간다.
50,"I098, I106",의사소통,2,0.6712085802473,0.8397435897435898,0.16666666666666666,중요한 메시지는 핵심-근거-요청 순으로 전달한다.
51,"I099, I107",의사소통,2,0.6920119370093103,0.8397435897435898,0.16025641025641027,피드백을 요청하고 합의된 행동을 기록한다.
52,"I100, I108",의사소통,2,0.648587368723186,0.8333333333333334,0.1794871794871795,타인과의 정보와 성과를 공유하려 한다.
54,"I102, I110",의사소통,2,0.7483408122169866,0.7948717948717948,0.23076923076923078,메일은 길수록 설득력이 있다고 생각한다.
55,"I103, I111",의사소통,2,0.6882971988440922,0.8589743589743589,0.14743589743589744,피드백을 갈등이 아닌 발전의 기회로 보고 적극적으로 제시한다.
56,"I104, I112",의사소통,2,0.8144531817440627,0.8910256410256411,0.10897435897435898,타인과의 성과 공유는 경쟁이 아닌 시너지를 만든다고 생각한다.
57,"I109, I117",의사소통,2,0.5409490742697205,0.8076923076923077,0.19230769230769232,상대방이 충분히 설명할 때까지 기다린 후 결론을 제시한다.
66,"I129, I137",도전정신,2,0.5662222404106492,0.7756410256410257,0.22435897435897437,어려워도 목표 달성까지 끈기 있게 밀고 간다.
67,"I130, I138",도전정신,2,0.7025856849785951,0.8397435897435898,0.16666666666666666,실패 후에도 빠르게 마음을 다잡고 재시도한다.
68,"I131, I139",도전정신,2,0.7012320558446856,0.8333333333333334,0.16666666666666666,지시가 없어도 필요한 일을 먼저 찾아서 한다.
69,"I132, I140",도전정신,2,0.5589878261508517,0.8333333333333334,0.17307692307692307,필요한 위험은 계산하고 책임 있게 감수한다.
70,"I133, I141",도전정신,2,0.6754222709202505,0.8333333333333334,0.16666666666666666,목표가 어려워도 끈기를 갖고 끝까지 도전한다.
71,"I134, I142",도전정신,2,0.713272149169164,0.8141025641025641,0.1858974358974359,실패해도 곧바로 의욕을 되찾고 다음 행동을 시작한다.
72,"I135, I143",도전정신,2,0.7044759798485245,0.8397435897435898,0.16666666666666666,지시받은 일 외에도 주도적으로 업무를 확장한다.
73,"I136, I144",도전정신,2,0.5035501469520055,0.717948717948718,0.3141025641025641,위험을 감수해야 하는 상황에서도 적극적으로 결정한다.
